kladr_id,address
3400000500000,"Волгоградская обл, г Урюпинск"
3400000600000,"Волгоградская обл, г Фролово"
3500200100000,"Вологодская обл, г Бабаево"
3500400100000,"Вологодская обл, г Белозерск"
3500600100000,"Вологодская обл, г Великий Устюг"
3500000100000,г Вологда
3500900100000,"Вологодская обл, г Вытегра"
3501000100000,"Вологодская обл, г Грязовец"
3501700200000,"Вологодская обл, Сокольский р-н, г Кадников"
3501200100000,"Вологодская обл, г Кириллов"
3500600200000,"Вологодская обл, Великоустюгский р-н, г Красавино"
3501500100000,"Вологодская обл, г Никольск"
3501700100000,"Вологодская обл, г Сокол"
3502000100000,"Вологодская обл, г Тотьма"
3502200100000,"Вологодская обл, г Устюжна"
3502300100000,"Вологодская обл, г Харовск"
3500000200000,"Вологодская обл, г Череповец"
3600300100000,"Воронежская обл, г Бобров"
3600400100000,"Воронежская обл, г Богучар"
3600500100000,"Воронежская обл, г Борисоглебск"
3600600100000,"Воронежская обл, г Бутурлиновка"
3600000100000,г Воронеж
3601100100000,"Воронежская обл, г Калач"
3601500100000,"Воронежская обл, г Лиски"
3600000300000,"Воронежская обл, г Нововоронеж"
3601800100000,"Воронежская обл, г Новохоперск"
3602000100000,"Воронежская обл, г Острогожск"
3602100100000,"Воронежская обл, г Павловск"
3602400100000,"Воронежская обл, г Поворино"
3602800100000,"Воронежская обл, г Россошь"
3602900100000,"Воронежская обл, г Семилуки"
3603300100000,"Воронежская обл, г Эртиль"
0500001000000,"Респ Дагестан, г Буйнакск"
0500000200000,"Респ Дагестан, г Дагестанские Огни"
0500000600000,"Респ Дагестан, г Дербент"
0500000300000,"Респ Дагестан, г Избербаш"
0500000400000,"Респ Дагестан, г Каспийск"
0500000700000,"Респ Дагестан, г Кизилюрт"
0500000800000,"Респ Дагестан, г Кизляр"
0500000100000,г Махачкала
0500000900000,"Респ Дагестан, г Хасавюрт"
0500000500000,"Респ Дагестан, г Южно-Сухокумск"
7900000100000,г Биробиджан
7900300100000,"Еврейская Аобл, г Облучье"
7500400100000,"Забайкальский край, г Балей"
7500500100000,"Забайкальский край, г Борзя"
7501100100000,"Забайкальский край, г Краснокаменск"
7501400100000,"Забайкальский край, г Могоча"
7501500100000,"Забайкальский край, г Нерчинск"
7501900100000,"Забайкальский край, г Петровск-Забайкальский"
7502100100000,"Забайкальский край, г Сретенск"
7502500100000,"Забайкальский край, г Хилок"
7500000100000,г Чита
7502800100000,"Забайкальский край, г Шилка"
3700300100000,"Ивановская обл, г Вичуга"
3700400100000,"Ивановская обл, г Гаврилов Посад"
3700500100000,"Ивановская обл, г Заволжск"
3700000100000,г Иваново
3700000200000,"Ивановская обл, г Кинешма"
3700800100000,"Ивановская обл, г Комсомольск"
3700100200000,"Ивановская обл, г Кохма"
3700700200000,"Ивановская обл, Кинешемский р-н, г Наволоки"
3701300200000,"Ивановская обл, Приволжский р-н, г Плес"
3701300100000,"Ивановская обл, г Приволжск"
3701400100000,"Ивановская обл, г Пучеж"
3701500100000,"Ивановская обл, г Родники"
3701700100000,"Ивановская обл, г Тейково"
3701800100000,"Ивановская обл, г Фурманов"
3701900100000,"Ивановская обл, г Шуя"
3702000100000,"Ивановская обл, г Южа"
3702100100000,"Ивановская обл, г Юрьевец"
0600000200000,"Респ Ингушетия, г Карабулак"
0600000100000,г Магас
0600000400000,"Респ Ингушетия, г Малгобек"
0600000300000,"Респ Ингушетия, г Назрань"
0600000500000,"Респ Ингушетия, г Сунжа"
3801600200000,"Иркутская обл, Нижнеудинский р-н, г Алзамай"
3800000400000,"Иркутская обл, г Ангарск"
3801800200000,"Иркутская обл, Слюдянский р-н, г Байкальск"
3801900200000,"Иркутская обл, Тайшетский р-н, г Бирюсинск"
3800000600000,"Иркутская обл, г Бодайбо"
3800000500000,"Иркутская обл, г Братск"
3800500200000,"Иркутская обл, Братский р-н, г Вихоревка"
3801500100000,"Иркутская обл, г Железногорск-Илимский"
3800000700000,"Иркутская обл, г Зима"
3800000300000,г Иркутск
3801200100000,"Иркутская обл, г Киренск"
3800000800000,"Иркутская обл, г Нижнеудинск"
3800000200000,"Иркутская обл, г Саянск"
3800001600000,"Иркутская обл, г Свирск"
3801800100000,"Иркутская обл, г Слюдянка"
3800000900000,"Иркутская обл, г Тайшет"
3800001000000,"Иркутская обл, г Тулун"
3800001100000,"Иркутская обл, г Усолье-Сибирское"
3800001200000,"Иркутская обл, г Усть-Илимск"
3800001300000,"Иркутская обл, г Усть-Кут"
3800001400000,"Иркутская обл, г Черемхово"
3800001500000,"Иркутская обл, г Шелехов"
